Time (s),Current (A),Voltage (V),Temperature (K)
435.7428,1.000000e-01,0.002630889,167.310
436.6243,1.000000e-01,0.002629886,167.060
437.5120,1.000000e-01,0.002628225,166.850
438.3865,1.000000e-01,0.002626986,166.620
439.2675,1.000000e-01,0.002623232,166.390
440.1488,1.000000e-01,0.002621224,166.190
441.0302,1.000000e-01,0.002617933,165.960
441.9124,1.000000e-01,0.002615652,165.710
442.7930,1.000000e-01,0.002609567,165.500
443.6753,1.000000e-01,0.002607507,165.290
444.5572,1.000000e-01,0.002604146,165.070
445.4375,1.000000e-01,0.002604599,164.830
446.3019,1.000000e-01,0.002597290,164.600
447.1331,1.000000e-01,0.002590711,164.350
447.9653,1.000000e-01,0.002589089,164.060
448.7962,1.000000e-01,0.002584330,163.850
449.6778,1.000000e-01,0.002579126,163.600
450.5588,1.000000e-01,0.002574337,163.330
451.4396,1.000000e-01,0.002570106,163.090
452.3206,1.000000e-01,0.002566323,162.870
453.2018,1.000000e-01,0.002563909,162.620
454.0828,1.000000e-01,0.002560304,162.360
454.9637,1.000000e-01,0.002559134,162.110
455.8299,1.000000e-01,0.002554296,161.880
456.6617,1.000000e-01,0.002548195,161.590
457.4929,1.000000e-01,0.002543262,161.400
458.3743,1.000000e-01,0.002540689,161.130
459.2557,1.000000e-01,0.002535777,160.880
460.1360,1.000000e-01,0.002532673,160.880
461.0160,1.000000e-01,0.002528446,160.630
461.8972,1.000000e-01,0.002523743,160.390
462.7782,1.000000e-01,0.002521004,160.140
463.6579,1.000000e-01,0.002516674,159.890
464.5418,1.000000e-01,0.002512003,159.650
465.4228,1.000000e-01,0.002510538,159.380
466.3051,1.000000e-01,0.002506405,159.130
467.1868,1.000000e-01,0.002500066,158.880
468.1799,1.000000e-01,0.002496065,158.590
469.0493,1.000000e-01,0.002490027,158.410
469.9308,1.000000e-01,0.002488535,158.140
470.8132,1.000000e-01,0.002486007,157.910
471.8391,1.000000e-01,0.002485976,157.670
472.6761,1.000000e-01,0.002480473,157.410
473.6739,1.000000e-01,0.002474060,156.920
474.5417,1.000000e-01,0.002467786,156.920
475.4201,1.000000e-01,0.002463662,156.670
476.3114,1.000000e-01,0.002459757,156.430
477.1839,1.000000e-01,0.002457664,156.180
478.0659,1.000000e-01,0.002452231,155.930
478.9472,1.000000e-01,0.002449934,155.700
479.8295,1.000000e-01,0.002447619,155.440
480.7114,1.000000e-01,0.002444639,155.210
481.5920,1.000000e-01,0.002441636,154.940
482.4731,1.000000e-01,0.002437434,154.710
483.4712,1.000000e-01,0.002430182,154.470
484.3439,1.000000e-01,0.002427495,154.220
485.2165,1.000000e-01,0.002426360,153.970
486.2406,1.000000e-01,0.002424928,153.740
487.0785,1.000000e-01,0.002420432,153.520
487.9621,1.000000e-01,0.002418218,153.250
488.8454,1.000000e-01,0.002416194,153.020
489.7265,1.000000e-01,0.002413981,152.780
490.6093,1.000000e-01,0.002410741,152.550
491.4907,1.000000e-01,0.002407825,152.320
492.3731,1.000000e-01,0.002400644,152.060
493.2543,1.000000e-01,0.002396153,151.830
494.1369,1.000000e-01,0.002394880,151.600
495.0195,1.000000e-01,0.002388206,151.340
495.9034,1.000000e-01,0.002386789,151.130
496.7842,1.000000e-01,0.002383658,150.890
497.6650,1.000000e-01,0.002377859,150.640
498.5477,1.000000e-01,0.002377030,150.410
499.4293,1.000000e-01,0.002374432,150.190
500.2963,1.000000e-01,0.002369409,149.960
501.1288,1.000000e-01,0.002366958,149.720
501.9617,1.000000e-01,0.002364438,149.490
502.7933,1.000000e-01,0.002360311,149.230
503.6753,1.000000e-01,0.002355992,149.000
504.5574,1.000000e-01,0.002352272,148.800
505.4383,1.000000e-01,0.002348297,148.540
506.3195,1.000000e-01,0.002346379,148.310
507.2010,1.000000e-01,0.002342299,148.090
508.0823,1.000000e-01,0.002340560,147.890
508.9630,1.000000e-01,0.002339213,147.650
509.8304,1.000000e-01,0.002336247,147.420
510.6620,1.000000e-01,0.002334614,147.160
511.4943,1.000000e-01,0.002332027,147.160
512.3265,1.000000e-01,0.002327575,146.950
513.2107,1.000000e-01,0.002321641,146.710
514.0899,1.000000e-01,0.002315047,146.470
514.9726,1.000000e-01,0.002309313,146.180
515.8528,1.000000e-01,0.002303987,145.950
516.7347,1.000000e-01,0.002299351,145.660
517.6155,1.000000e-01,0.002293404,145.390
518.4978,1.000000e-01,0.002289373,145.060
519.3795,1.000000e-01,0.002285908,144.750
520.2608,1.000000e-01,0.002278641,144.460
521.1418,1.000000e-01,0.002272609,144.150
522.1496,1.000000e-01,0.002268812,143.820
